code,species,size,waterperc,density,barkthick,P,K,Ca,Mn,Fe,Zn,N,C
acel,acel,small,0.5066144143314908,0.5589542020372174,2.0500000000000003,-6.791,651.4925000000001,2806.772,45.158500000000004,2295.9395,9.025,0.74868,51.177499999999995
acpa,acpa,small,0.5374868218143213,0.6999979168872111,1.6800000000000008,69.14874999999999,1666.8052500000001,5266.82,39.58025,3522.0690000000004,16.18425,0.57537,50.68325
ACPA,acpa,large,0.5919746211730827,0.6999979168872111,1.6800000000000008,75.32566666666666,744.6376666666667,3303.2393333333334,4.676,23.981666666666666,3.58,0.25458333333333333,49.393
alli,alli,small,0.6358657401010385,0.6188020846385105,2.503333333333334,256.08733333333333,2928.115,7652.384000000001,113.54933333333334,1942.1053333333334,13.817,0.34506,49.894
ALLI,alli,large,0.8014313337357044,0.6188020846385105,2.503333333333334,44.68633333333333,775.932,4842.335333333333,59.596666666666664,35.513666666666666,36.00533333333333,0.18033,50.061
anba,anba,small,0.8444014161502951,0.5047437927917083,1.3799999999999997,98.9125,3214.2055,6730.3555,168.8045,5951.617,53.2995,0.355005,50.063
ANBA,anba,large,1.7453781722730317,0.5047437927917083,1.3799999999999997,142.542,2281.4056666666665,5311.014,104.601,54.835,28.524,0.29843333333333333,49.35766666666667
baae,baae,small,0.954008456479889,0.5410249278953302,1.4399999999999995,69.805,1775.5203333333334,1947.907,272.43899999999996,1443.026,4.780333333333333,0.18549333333333332,51.617
BAAE,baae,large,1.5286615129061238,0.5410249278953302,1.4399999999999995,178.33933333333331,1445.119,1393.7373333333333,160.95100000000002,25.636666666666667,3.905333333333333,0.13498333333333334,51.116
basp,basp,small,0.591497934580308,0.6839947239600402,1.543333333333333,95.894,1006.151,893.499,189.631,4932.894,5.359,0.18218,51.316
cali,cali,small,0.7952726201533898,0.6986434107897423,3.2966666666666673,-6.591,2011.128,1347.053,32.084,2024.275,5.258,0.12946,50.82
cota,cota,small,0.38966636558202605,0.6772956793725693,1.623333333333333,149.404,336.485,940.237,73.073,4755.687,71.377,0.25475,50.518
eusc,eusc,small,0.7792421600233593,0.5732709621316227,1.5200000000000002,NA,NA,NA,NA,NA,NA,NA,NA
EUSC,eusc,large,1.329873517638279,0.5732709621316227,1.5200000000000002,62.71666666666667,821.6136666666666,3726.573,230.413,7.722333333333333,9.453333333333333,0.19002333333333332,50.54366666666667
eute,eute,small,1.300427273012419,0.5255298209824648,1.9033333333333342,226.056,1983.8423333333333,5574.1973333333335,533.9166666666666,1103.5816666666667,25.85333333333333,0.4415133333333333,50.47866666666666
EUTE,eute,large,0.9463925155818541,0.5255298209824648,1.9033333333333342,102.675,131.89233333333334,5099.435333333333,185.37099999999998,12.761666666666667,18.119,0.23313666666666666,52.27466666666667
excu,excu,small,0.8188458638271433,0.6387986870316206,2.1199999999999997,182.11966666666666,4634.2863333333335,3380.377,104.01433333333333,794.8396666666667,16.317,0.34956666666666664,50.57233333333333
EXCU,excu,large,0.8784476834933164,0.6387986870316206,2.1199999999999997,107.219,2112.4926666666665,4083.1530000000002,66.53033333333333,12.225666666666667,6.618666666666666,0.19732666666666668,50.41766666666667
hase,hase,small,0.7887225564144623,0.6288927001539325,0.7533333333333326,53.247,653.9155000000001,1334.3055,119.7765,1794.192,12.4605,0.114375,49.039500000000004
isan,isan,small,0.5802734175119443,0.6799240971881552,0.9233333333333332,134.195,1257.07,1059.658,108.11,603.424,23.033,0.06088,49.588
jasc,jasc,small,0.7739401960548568,0.6875236860125888,5.046666666666667,111.50633333333333,1314.0703333333333,914.9680000000001,157.19866666666667,4208.955,17.69633333333333,0.8009166666666667,51.388333333333335
JASC,jasc,large,0.736658202243149,0.6875236860125888,5.046666666666667,92.34433333333334,380.15700000000004,738.1696666666667,192.647,53.739333333333335,9.055666666666667,0.58882,51.86
leer,leer,small,0.37806150548521306,0.7448930595040938,0.7099999999999996,47.484,1022.312,3803.806,692.971,4339.512,20.355,0.26946,49.98
lepa,lepa,small,0.6434492257521063,0.6810379696044823,2.9533333333333336,93.61933333333334,507.89666666666665,2279.4339999999997,158.038,5631.934,9.391333333333334,0.34985,50.992
LEPA,lepa,large,0.8505589537627837,0.6810379696044823,2.9533333333333336,75.25725,216.13375000000002,721.4775,41.78025,63.44475,4.147,0.2481675,53.6
mede,mede,small,0.857250249097231,0.5756115282195517,3.1633333333333336,35.608333333333334,956.7633333333333,3043.955,306.78266666666667,1560.9313333333332,28.025,0.4758133333333333,51.73433333333333
MEDE,mede,large,0.9785860619168947,0.5756115282195517,3.1633333333333336,50.855,438.406,676.6563333333334,57.20133333333333,31.140666666666668,4.0120000000000005,0.36265,52.305
olst,olst,small,NaN,0.6377175915127916,0.8833333333333341,83.578,5014.116,2171.139,134.944,8589.504,40.831,0.23319,47.673
peli,peli,small,0.9534132545975296,0.5228622288458353,2.77,142.17533333333333,619.6266666666667,629.399,115.323,1878.773,21.413666666666668,0.20204666666666668,51.252
PELI,peli,large,0.8822941719884068,0.5228622288458353,2.77,92.71733333333333,309.5346666666667,492.34766666666667,56.415333333333336,43.516333333333336,19.331,0.13981,52.939
penu,penu,small,0.8500443221836074,0.5923772978381058,1.3,311.485,1489.605,584.422,79.878,7401.437,22.762,0.14458,48.732
pepu,pepu,small,0.8655230165249536,0.6215269304773429,2.9266666666666667,60.14833333333334,275.8933333333333,1198.4840000000002,68.37533333333333,2123.021333333333,65.849,0.12436,51.68333333333333
PEPU,pepu,large,0.8806874640907174,0.6215269304773429,2.9266666666666667,66.56700000000001,466.3616666666667,948.5246666666667,40.029,46.656666666666666,93.096,0.08288666666666666,50.437
ripi,ripi,small,0.9765472953359948,0.4425258546778103,1.153333333333333,18.119,3287.2,6532.354,162.635,3218.096,21.241,0.40369,49.998
