"","stat","w.t50","beta","alpha","w.r2","trim"
"RMSE","RMSE",1.13,1.69,0.41,0.09,"yes"
"R2","R2",0.01,0.02,0.01,0.01,"yes"
"Avg.Bias","Avg.Bias",0.13,0.22,-0.07,-0.01,"yes"
"Max.Bias","Max.Bias",2.94,4.11,0.8,0.23,"yes"
"Skill","Skill",-36.92,-46.58,-79.35,-69.14,"yes"
"delta.RMSE","delta.RMSE",17.01,21.07,33.92,30.05,"yes"
"p","p",0.99,0.99,0.98,1,"yes"
"RMSE1","RMSE",0.99,1.44,0.33,0.08,"no"
"R21","R2",0.03,0.02,0,0.01,"no"
"Avg.Bias1","Avg.Bias",0.05,0.11,-0.04,0,"no"
"Max.Bias1","Max.Bias",2.82,4.07,0.81,0.23,"no"
"Skill1","Skill",-4.6,-7.57,-19.39,-15.47,"no"
"delta.RMSE1","delta.RMSE",2.27,3.72,9.27,7.46,"no"
"p1","p",0.63,0.7,0.85,0.83,"no"
