"","sampleID","code","Stem","species","size","Binomial","time"
"1","ACPA1","ACPA",1,"acpa","large","Acacia parramattensis",0
"2","ACPA3","ACPA",3,"acpa","large","Acacia parramattensis",0
"3","ACPA4","ACPA",4,"acpa","large","Acacia parramattensis",0
"4","ALLI1","ALLI",1,"alli","large","Allocasuarina littoralis",0
"5","ALLI2","ALLI",2,"alli","large","Allocasuarina littoralis",0
"6","ALLI3","ALLI",3,"alli","large","Allocasuarina littoralis",0
"7","ANBA1","ANBA",1,"anba","large","Angophora bakeri",0
"8","ANBA2","ANBA",2,"anba","large","Angophora bakeri",0
"9","ANBA3","ANBA",3,"anba","large","Angophora bakeri",0
"10","BAAE1","BAAE",1,"baae","large","Banksia aemula",0
"11","BAAE2","BAAE",2,"baae","large","Banksia aemula",0
"12","BAAE3","BAAE",3,"baae","large","Banksia aemula",0
"13","EUSC1","EUSC",1,"eusc","large","Eucalyptus sclerophylla",0
"14","EUSC2","EUSC",2,"eusc","large","Eucalyptus sclerophylla",0
"15","EUSC3","EUSC",3,"eusc","large","Eucalyptus sclerophylla",0
"16","EUTE1","EUTE",1,"eute","large","Eucalyptus tereticornis",0
"17","EUTE2","EUTE",2,"eute","large","Eucalyptus tereticornis",0
"18","EUTE3","EUTE",3,"eute","large","Eucalyptus tereticornis",0
"19","EXCU1","EXCU",1,"excu","large","Exocarpos cupressiformis",0
"20","EXCU2","EXCU",2,"excu","large","Exocarpos cupressiformis",0
"21","EXCU3","EXCU",3,"excu","large","Exocarpos cupressiformis",0
"22","JASC1","JASC",1,"jasc","large","Jacksonia scoparia",0
"23","JASC2","JASC",2,"jasc","large","Jacksonia scoparia",0
"24","JASC3","JASC",3,"jasc","large","Jacksonia scoparia",0
"25","LEPA1","LEPA",1,"lepa","large","Leptospermum parvifolium",0
"26","LEPA2","LEPA",2,"lepa","large","Leptospermum parvifolium",0
"27","LEPA3","LEPA",3,"lepa","large","Leptospermum parvifolium",0
"28","LEPA4","LEPA",4,"lepa","large","Leptospermum parvifolium",0
"29","MEDE1","MEDE",1,"mede","large","Melaleuca decora",0
"30","MEDE2","MEDE",2,"mede","large","Melaleuca decora",0
"31","MEDE3","MEDE",3,"mede","large","Melaleuca decora",0
"32","PELI1","PELI",1,"peli","large","Persoonia linearis",0
"33","PELI2","PELI",2,"peli","large","Persoonia linearis",0
"34","PELI3","PELI",3,"peli","large","Persoonia linearis",0
"35","PEPU1","PEPU",1,"pepu","large","Petrophile pulchella",0
"36","PEPU2","PEPU",2,"pepu","large","Petrophile pulchella",0
"37","PEPU3","PEPU",3,"pepu","large","Petrophile pulchella",0
