"","term","alpha","beta","k","ne.r2","t60","w.r2","w.t60"
"1","(Intercept)","7.5 **","-21 ","1.3 *","1.9 ***","-3.1 ","2.7 ***","-1.9 "
"2","barkthick","-0.091 ","0.47 ","-0.022 ",NA,"0.18 *",NA,"0.094 "
"3","C","-0.096 *","0.49 *","-0.023 *","-0.026 *","0.14 *","-0.031 **","0.12 *"
"4","Ca",NA,"4e-04 ***","-1.8e-05 ***",NA,"0.00016 ***",NA,"0.00015 ***"
"5","density","-1.5 *","4.6 ","-0.25 ",NA,NA,"-0.42 **",NA
"6","K",NA,NA,NA,"-1.5e-05 ",NA,NA,NA
"7","Mn",NA,"-0.002 ","0.00011 ",NA,"-0.00072 ",NA,"-0.00066 "
"8","N","0.47 ","-3.9 **","0.18 **","0.18 **","-1.4 **","0.17 **","-0.95 *"
"9","P","-0.00089 ",NA,NA,NA,NA,NA,NA
"10","sizesmall","-0.26 *","-0.51 ","0.062 **",NA,"-0.59 ***","-0.067 **","-0.7 ***"
"11","waterperc",NA,"-0.064 ","0.0047 **","0.0046 ***","-0.048 ***",NA,"-0.043 ***"
"12","Zn",NA,"-0.024 **","0.0014 **","0.00067 ","-0.011 **",NA,"-0.0083 **"
"13",NA,NA,NA,NA,NA,NA,NA,NA
"Fstat","Fstat","4.43","6.99","10.37","4.51","10.41","7.67","13.35"
"numdf","numdf","6","9","9","5","8","4","8"
"dendf","dendf","26","23","23","27","24","28","24"
"r.squared","r.squared","0.51","0.73","0.8","0.46","0.78","0.52","0.82"
