"","term","time13","time25","time37","time59","time7"
"1","(Intercept)","1.3 ***","1.2 ***","1.4 ***","-1.5 *","1.1 ***"
"2","barkthick_smspp",NA,NA,NA,"-0.055 *",NA
"3","C",NA,NA,NA,"0.055 ***",NA
"4","Fe",NA,"-1.6e-05 ","-4.1e-05 ***","-2.9e-05 **","8.3e-06 "
"5","K",NA,NA,"-3.7e-05 ",NA,"1.4e-05 *"
"6","N","-0.19 ***",NA,NA,NA,"-0.098 *"
"7","P","0.00027 *","0.00056 **","0.00057 **",NA,NA
"8","sizesmall","-0.11 ***","-0.099 **",NA,NA,"-0.088 ***"
"9","waterperc","-0.0063 ***","-0.011 ***","-0.017 ***","-0.017 ***","-0.003 **"
"10","Zn","-0.00052 ","-0.00081 ",NA,NA,NA
"11",NA,NA,NA,NA,NA,NA
"Fstat","Fstat","12.9","9.91","15.32","11.91","6.42"
"numdf","numdf","5","5","4","4","5"
"dendf","dendf","48","46","46","49","49"
"r.squared","r.squared","0.57","0.52","0.57","0.49","0.4"
